## Thu Oct 20 12:33:49 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_clhlot17 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_clhlot17 --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_clhlot17/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
hemE	321846.PS417_02010	1.35e-262	718.0	COG0407@1|root,COG0407@2|Bacteria,1MUG1@1224|Proteobacteria,1RMDH@1236|Gammaproteobacteria	1236|Gammaproteobacteria	H	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III	hemE	GO:0003674,GO:0003824,GO:0004853,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006536,GO:0006725,GO:0006778,GO:0006779,GO:0006780,GO:0006782,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009064,GO:0009987,GO:0016053,GO:0016829,GO:0016830,GO:0016831,GO:0018130,GO:0019353,GO:0019438,GO:0019752,GO:0033013,GO:0033014,GO:0033526,GO:0034641,GO:0042168,GO:0042440,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046148,GO:0046394,GO:0046483,GO:0046501,GO:0046502,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605	4.1.1.37	ko:K01599	ko00860,ko01100,ko01110,map00860,map01100,map01110	M00121	R03197,R04972	RC00872	ko00000,ko00001,ko00002,ko01000	-	-	iPC815.YPO3734,iSBO_1134.SBO_4018	URO-D
ynfM_1	321846.PS417_02015	6.81e-291	796.0	COG0477@1|root,COG2814@2|Bacteria,1MWFH@1224|Proteobacteria,1RPAT@1236|Gammaproteobacteria	1236|Gammaproteobacteria	EGP	Major facilitator superfamily	ynfM	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K08224	-	-	-	-	ko00000,ko02000	2.A.1.36	-	-	MFS_1,Sugar_tr
benM_1	321846.PS417_02020	1.98e-203	564.0	COG0583@1|root,COG0583@2|Bacteria,1MXRP@1224|Proteobacteria,1RQP1@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	transcriptional regulator	ynfL	GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
33931E_Pfluorescens55_00578	321846.PS417_02025	5.31e-99	288.0	2EIWT@1|root,33CN4@2|Bacteria,1QXAW@1224|Proteobacteria,1T36P@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
fabF_1	321846.PS417_02030	2.94e-302	823.0	COG0304@1|root,COG0304@2|Bacteria,1MU1X@1224|Proteobacteria,1RQH7@1236|Gammaproteobacteria	1236|Gammaproteobacteria	IQ	Belongs to the beta-ketoacyl-ACP synthases family	fabF1	-	2.3.1.179	ko:K09458	ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212	M00083,M00572	R04355,R04726,R04952,R04957,R04960,R04963,R04968,R07762,R10115,R10119	RC00039,RC02728,RC02729,RC02888	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	Ketoacyl-synt_C,ketoacyl-synt
fabG_1	321846.PS417_02035	1.81e-167	468.0	COG1028@1|root,COG1028@2|Bacteria,1MUPY@1224|Proteobacteria,1RMCB@1236|Gammaproteobacteria	1236|Gammaproteobacteria	IQ	Catalyzes the first of the two reduction steps in the elongation cycle of fatty acid synthesis	fabG	-	1.1.1.100	ko:K00059	ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212	M00083,M00572	R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671	RC00029,RC00117	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	ic_1306.c1187	adh_short_C2
33931E_Pfluorescens55_00581	321846.PS417_02040	4.18e-111	318.0	COG4706@1|root,COG4706@2|Bacteria,1N00A@1224|Proteobacteria,1S9E9@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	3-hydroxylacyl-(Acyl carrier protein) dehydratase	fabA1	-	-	-	-	-	-	-	-	-	-	-	FabA
33931E_Pfluorescens55_00582	321846.PS417_02045	4.89e-284	775.0	COG0304@1|root,COG0304@2|Bacteria,1N91E@1224|Proteobacteria,1RMPP@1236|Gammaproteobacteria	1236|Gammaproteobacteria	IQ	Belongs to the beta-ketoacyl-ACP synthases family	fabF2	-	2.3.1.41	ko:K00647	ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212	M00083,M00572	R04355,R04726,R04952,R04957,R04960,R04963,R04968,R07762,R10115,R10119	RC00039,RC02728,RC02729,RC02888	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	Ketoacyl-synt_C,ketoacyl-synt
33931E_Pfluorescens55_00583	321846.PS417_02050	1.74e-111	320.0	2DPTW@1|root,333CJ@2|Bacteria,1NAX3@1224|Proteobacteria,1SW4X@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DUF3261
ubiE_2	321846.PS417_02055	1.2e-182	507.0	COG0500@1|root,COG2226@2|Bacteria,1NJBJ@1224|Proteobacteria,1SHEC@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	Methyl-transferase	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_11
kmo	321846.PS417_02060	2.56e-311	847.0	COG0644@1|root,COG0644@2|Bacteria,1MZVI@1224|Proteobacteria,1RMNS@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	Trp_halogenase
33931E_Pfluorescens55_00586	321846.PS417_02065	0.0	1461.0	COG4258@1|root,COG4258@2|Bacteria,1MU1E@1224|Proteobacteria,1RMP8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	exporter	VP0886	-	-	-	-	-	-	-	-	-	-	-	MMPL
33931E_Pfluorescens55_00587	321846.PS417_02070	2.53e-150	424.0	COG2834@1|root,COG2834@2|Bacteria,1R5HR@1224|Proteobacteria,1RSIT@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Participates in the translocation of lipoproteins from the inner membrane to the outer membrane. Only forms a complex with a lipoprotein if the residue after the N-terminal Cys is not an aspartate (The Asp acts as a targeting signal to indicate that the lipoprotein should stay in the inner membrane)	lola3	-	-	-	-	-	-	-	-	-	-	-	LolA
33931E_Pfluorescens55_00588	321846.PS417_02075	7.73e-99	286.0	COG0824@1|root,COG0824@2|Bacteria,1RH6W@1224|Proteobacteria,1S6BU@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	thioesterase	-	-	-	ko:K07107	-	-	-	-	ko00000,ko01000	-	-	-	4HBT,4HBT_2
hutH_3	321846.PS417_02080	0.0	1014.0	COG2986@1|root,COG2986@2|Bacteria,1MU6K@1224|Proteobacteria,1RP02@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	histidine ammonia-lyase	hutH	-	4.3.1.3	ko:K01745	ko00340,ko01100,map00340,map01100	M00045	R01168	RC00361	ko00000,ko00001,ko00002,ko01000	-	-	-	Lyase_aromatic
33931E_Pfluorescens55_00590	321846.PS417_02085	4.01e-235	645.0	COG4261@1|root,COG4261@2|Bacteria,1R5JJ@1224|Proteobacteria,1S2FM@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Glycosyl Transferase	-	-	-	-	-	-	-	-	-	-	-	-	Lip_A_acyltrans
33931E_Pfluorescens55_00591	321846.PS417_02090	2.07e-183	509.0	COG1216@1|root,COG1216@2|Bacteria,1QVEM@1224|Proteobacteria,1T2CN@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Glycosyl Transferase	-	-	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2
acs_1	321846.PS417_02095	0.0	1107.0	COG0318@1|root,COG0764@1|root,COG0318@2|Bacteria,COG0764@2|Bacteria,1MXPB@1224|Proteobacteria,1RRD5@1236|Gammaproteobacteria	1236|Gammaproteobacteria	IQ	COG0365 Acyl-coenzyme A synthetases AMP-(fatty) acid ligases	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,FabA
33931E_Pfluorescens55_00593	321846.PS417_02100	1.75e-128	365.0	COG4648@1|root,COG4648@2|Bacteria,1N0PK@1224|Proteobacteria,1S9TC@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	Membrane	-	-	-	-	-	-	-	-	-	-	-	-	IspA
acpP_1	1415630.U771_02620	3.79e-52	164.0	COG0236@1|root,COG0236@2|Bacteria,1N7Q1@1224|Proteobacteria,1SC83@1236|Gammaproteobacteria	1236|Gammaproteobacteria	IQ	Carrier of the growing fatty acid chain in fatty acid biosynthesis	acpP2	-	-	ko:K02078	-	-	-	-	ko00000,ko00001	-	-	-	PP-binding
acpP_2	321846.PS417_02110	6.85e-55	171.0	COG0236@1|root,COG0236@2|Bacteria,1N6RU@1224|Proteobacteria,1SCW1@1236|Gammaproteobacteria	1236|Gammaproteobacteria	IQ	acyl carrier protein	RS00794	-	-	ko:K02078	-	-	-	-	ko00000,ko00001	-	-	-	PP-binding
33931E_Pfluorescens55_00596	321846.PS417_02115	2.73e-201	556.0	COG0204@1|root,COG0204@2|Bacteria,1RDN7@1224|Proteobacteria,1S4Z5@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	Acyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Acyltransferase
33931E_Pfluorescens55_00597	321846.PS417_02120	2.93e-176	490.0	COG0304@1|root,COG0304@2|Bacteria,1P982@1224|Proteobacteria,1S9YX@1236|Gammaproteobacteria	1236|Gammaproteobacteria	IQ	synthase	-	-	-	-	-	-	-	-	-	-	-	-	Ketoacyl-synt_2
soj_2	321846.PS417_02125	2.91e-180	502.0	COG1192@1|root,COG1192@2|Bacteria,1MVEZ@1224|Proteobacteria,1RPWA@1236|Gammaproteobacteria	1236|Gammaproteobacteria	D	COG1192 ATPases involved in chromosome partitioning	parA	-	-	ko:K03496	-	-	-	-	ko00000,ko03036,ko04812	-	-	-	AAA_31
33931E_Pfluorescens55_00599	1282356.H045_12355	1.58e-26	99.0	2B1Z4@1|root,31UFP@2|Bacteria,1QSAI@1224|Proteobacteria,1RVPM@1236|Gammaproteobacteria,1YU80@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
trxC	1470593.BW43_04577	7.37e-103	297.0	COG3118@1|root,COG3118@2|Bacteria,1RHUA@1224|Proteobacteria,1S64W@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Thioredoxin	trxC	-	1.8.1.8	ko:K03672	-	-	-	-	ko00000,ko01000,ko03110	-	-	-	Thioredoxin
33931E_Pfluorescens55_00601	321846.PS417_02140	0.0	984.0	COG0397@1|root,COG0397@2|Bacteria,1MVK3@1224|Proteobacteria,1RNCS@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Belongs to the UPF0061 (SELO) family	ydiU	-	-	ko:K08997	-	-	-	-	ko00000	-	-	-	UPF0061
mscK	321846.PS417_02145	0.0	2090.0	COG3264@1|root,COG3264@2|Bacteria,1MWSA@1224|Proteobacteria,1RMYY@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	mechanosensitive ion channel	kefA	GO:0005575,GO:0005623,GO:0005886,GO:0006884,GO:0008150,GO:0008361,GO:0009987,GO:0009992,GO:0016020,GO:0016043,GO:0019725,GO:0030104,GO:0032535,GO:0042592,GO:0044464,GO:0048878,GO:0055082,GO:0065007,GO:0065008,GO:0071840,GO:0071944,GO:0090066	-	ko:K05802,ko:K22051	-	-	-	-	ko00000,ko02000	1.A.23.1.1,1.A.23.1.2,1.A.23.1.3	-	-	MS_channel,MscS_TM,MscS_porin
nhaP2	321846.PS417_02150	0.0	1115.0	COG3263@1|root,COG3263@2|Bacteria,1MVKV@1224|Proteobacteria,1RMCA@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	K( ) H( ) antiporter that extrudes potassium in exchange for external protons and maintains the internal concentration of potassium under toxic levels	nhaP2	GO:0003674,GO:0005215,GO:0005451,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0006884,GO:0008150,GO:0008324,GO:0008361,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015079,GO:0015291,GO:0015297,GO:0015298,GO:0015299,GO:0015318,GO:0015386,GO:0015491,GO:0015672,GO:0016020,GO:0016021,GO:0016043,GO:0019725,GO:0022804,GO:0022821,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0031226,GO:0032535,GO:0034220,GO:0042592,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0065007,GO:0065008,GO:0071804,GO:0071805,GO:0071840,GO:0071944,GO:0090066,GO:0098655,GO:0098660,GO:0098662,GO:0099516,GO:1902600	-	ko:K11105	-	-	-	-	ko00000,ko02000	2.A.36.6	-	-	CorC_HlyC,Na_H_Exchanger,TrkA_C
33931E_Pfluorescens55_00604	321846.PS417_02155	0.0	913.0	COG0840@1|root,COG0840@2|Bacteria,1MU9B@1224|Proteobacteria,1RMH0@1236|Gammaproteobacteria	1236|Gammaproteobacteria	NT	chemotaxis, protein	VPA0491	-	-	ko:K03406	ko02020,ko02030,map02020,map02030	-	-	-	ko00000,ko00001,ko02035	-	-	-	4HB_MCP_1,HAMP,MCPsignal
33931E_Pfluorescens55_00605	321846.PS417_02160	2.44e-40	134.0	2EDG2@1|root,337CB@2|Bacteria,1N07X@1224|Proteobacteria,1S9YK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
33931E_Pfluorescens55_00606	321846.PS417_02165	3.23e-59	183.0	COG3027@1|root,COG3027@2|Bacteria	2|Bacteria	D	Activator of cell division through the inhibition of FtsZ GTPase activity, therefore promoting FtsZ assembly into bundles of protofilaments necessary for the formation of the division Z ring. It is recruited early at mid-cell but it is not essential for cell division	zapA	-	-	ko:K09888	-	-	-	-	ko00000,ko03036	-	-	-	ZapA
dmdC_1	321846.PS417_02170	0.0	1202.0	COG1960@1|root,COG1960@2|Bacteria,1MU20@1224|Proteobacteria,1RPHJ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	acyl-CoA dehydrogenase	-	-	1.3.8.1	ko:K00248	ko00071,ko00280,ko00650,ko01100,ko01110,ko01120,ko01200,ko01212,map00071,map00280,map00650,map01100,map01110,map01120,map01200,map01212	-	R01175,R01178,R02661,R03172,R04751	RC00052,RC00068,RC00076,RC00120,RC00148	ko00000,ko00001,ko01000	-	-	-	Acyl-CoA_dh_1,Acyl-CoA_dh_C,Acyl-CoA_dh_M,Acyl-CoA_dh_N,AcylCoA_DH_N
putA	321846.PS417_02175	0.0	2563.0	COG0506@1|root,COG4230@1|root,COG0506@2|Bacteria,COG4230@2|Bacteria,1MV93@1224|Proteobacteria,1RN48@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	Oxidizes proline to glutamate for use as a carbon and nitrogen source	putA	GO:0000166,GO:0000976,GO:0000984,GO:0000986,GO:0000987,GO:0001017,GO:0001067,GO:0001130,GO:0001131,GO:0001141,GO:0001217,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0003824,GO:0003842,GO:0004657,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006082,GO:0006355,GO:0006520,GO:0006536,GO:0006560,GO:0006562,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009064,GO:0009065,GO:0009889,GO:0009890,GO:0009892,GO:0009898,GO:0009987,GO:0010133,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016020,GO:0016054,GO:0016491,GO:0016645,GO:0016646,GO:0019219,GO:0019222,GO:0019752,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043436,GO:0043565,GO:0043648,GO:0044212,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0044425,GO:0044459,GO:0044464,GO:0045892,GO:0045934,GO:0046395,GO:0046483,GO:0046700,GO:0048037,GO:0048519,GO:0048523,GO:0050660,GO:0050662,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0055114,GO:0060255,GO:0065007,GO:0071704,GO:0071944,GO:0080090,GO:0097159,GO:0098552,GO:0098562,GO:0140110,GO:1901265,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606,GO:1902679,GO:1903506,GO:1903507,GO:1990837,GO:2000112,GO:2000113,GO:2001141	1.2.1.88,1.5.5.2	ko:K13821	ko00250,ko00330,ko01100,ko01110,ko01130,map00250,map00330,map01100,map01110,map01130	-	R00245,R00707,R00708,R01253,R04444,R04445,R05051	RC00080,RC00083,RC00216,RC00242,RC00255	ko00000,ko00001,ko01000,ko03000	-	-	iPC815.YPO1851,iSbBS512_1146.SbBS512_E2304	Aldedh,Pro_dh,Pro_dh-DNA_bdg
putP	321846.PS417_02180	0.0	943.0	COG0591@1|root,COG0591@2|Bacteria,1MUBI@1224|Proteobacteria,1RMXU@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family	putP	GO:0003333,GO:0003674,GO:0005215,GO:0005283,GO:0005298,GO:0005342,GO:0005343,GO:0005416,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006820,GO:0006865,GO:0006869,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0010876,GO:0015075,GO:0015077,GO:0015081,GO:0015171,GO:0015291,GO:0015293,GO:0015294,GO:0015318,GO:0015370,GO:0015672,GO:0015711,GO:0015718,GO:0015804,GO:0015824,GO:0015849,GO:0015908,GO:0015912,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0031226,GO:0033036,GO:0034220,GO:0035725,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0098655,GO:0098656,GO:0098660,GO:0098662,GO:1903825,GO:1905039	-	ko:K11928	-	-	-	-	ko00000,ko02000	2.A.21.2	-	iSbBS512_1146.SbBS512_E2302	SSF
vgrG1_2	321846.PS417_02185	0.0	1291.0	COG3501@1|root,COG3501@2|Bacteria,1MU7Q@1224|Proteobacteria,1RMZS@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Rhs Element Vgr Protein	-	-	-	ko:K11904	ko03070,map03070	M00334	-	-	ko00000,ko00001,ko00002,ko02044	3.A.23.1	-	-	Phage_GPD
33931E_Pfluorescens55_00611	321846.PS417_02190	1.91e-166	464.0	2DP3C@1|root,32UK6@2|Bacteria,1MZSQ@1224|Proteobacteria,1S8VD@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Domain of unknown function (DUF4123)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4123
rlmJ	216595.PFLU_0456	2.54e-210	580.0	COG2961@1|root,COG2961@2|Bacteria,1MWGA@1224|Proteobacteria,1RNI1@1236|Gammaproteobacteria,1YMY9@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	J	Specifically methylates the adenine in position 2030 of 23S rRNA	rlmJ	-	2.1.1.266	ko:K07115	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	RsmJ
msrA_1	321846.PS417_02205	6.43e-159	444.0	COG0225@1|root,COG0225@2|Bacteria,1MVUS@1224|Proteobacteria,1RNWU@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine	msrA	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006807,GO:0006950,GO:0006979,GO:0008113,GO:0008150,GO:0008152,GO:0009987,GO:0016491,GO:0016667,GO:0016671,GO:0019538,GO:0030091,GO:0033744,GO:0036456,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0055114,GO:0071704,GO:1901564	1.8.4.11	ko:K07304	-	-	-	-	ko00000,ko01000	-	-	iECSE_1348.ECSE_4525	PMSR
33931E_Pfluorescens55_00614	321846.PS417_02210	0.0	1758.0	COG2203@1|root,COG5001@1|root,COG2203@2|Bacteria,COG5001@2|Bacteria,1MU2C@1224|Proteobacteria,1RM8A@1236|Gammaproteobacteria	1236|Gammaproteobacteria	T	Diguanylate cyclase	-	-	-	-	-	-	-	-	-	-	-	-	EAL,GAF,GGDEF,PAS_9
aceF	321846.PS417_02215	0.0	900.0	COG0508@1|root,COG0508@2|Bacteria,1MU7K@1224|Proteobacteria,1RNPT@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)	aceF	-	2.3.1.12	ko:K00627	ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200	M00307	R00209,R02569	RC00004,RC02742,RC02857	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	2-oxoacid_dh,Biotin_lipoyl,E3_binding
aceE_1	321846.PS417_02220	0.0	1791.0	COG2609@1|root,COG2609@2|Bacteria,1MV21@1224|Proteobacteria,1RN6K@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)	aceE	-	1.2.4.1	ko:K00163	ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200	M00307	R00014,R00209,R01699,R03270	RC00004,RC00027,RC00627,RC02742,RC02744,RC02882	br01601,ko00000,ko00001,ko00002,ko01000	-	-	iJN746.PP_0339	Transketolase_N
glnE	321846.PS417_02225	0.0	1918.0	COG1391@1|root,COG1391@2|Bacteria,1MU4I@1224|Proteobacteria,1RP9N@1236|Gammaproteobacteria	1236|Gammaproteobacteria	H	Involved in the regulation of glutamine synthetase GlnA, a key enzyme in the process to assimilate ammonia. When cellular nitrogen levels are high, the C-terminal adenylyl transferase (AT) inactivates GlnA by covalent transfer of an adenylyl group from ATP to specific tyrosine residue of GlnA, thus reducing its activity. Conversely, when nitrogen levels are low, the N-terminal adenylyl removase (AR) activates GlnA by removing the adenylyl group by phosphorolysis, increasing its activity. The regulatory region of GlnE binds the signal transduction protein PII (GlnB) which indicates the nitrogen status of the cell	glnE	GO:0000166,GO:0000287,GO:0000820,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006521,GO:0006541,GO:0006542,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008652,GO:0008882,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0010565,GO:0016053,GO:0016740,GO:0016772,GO:0016779,GO:0017076,GO:0019222,GO:0019752,GO:0030554,GO:0031323,GO:0032553,GO:0032555,GO:0032559,GO:0033238,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046872,GO:0050789,GO:0050794,GO:0051171,GO:0062012,GO:0065007,GO:0070566,GO:0071704,GO:0080090,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.7.7.42,2.7.7.89	ko:K00982	-	-	-	-	ko00000,ko01000	-	-	-	GlnD_UR_UTase,GlnE
rfaF	321846.PS417_02230	1.18e-255	700.0	COG0859@1|root,COG0859@2|Bacteria,1MXA2@1224|Proteobacteria,1RMBF@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	heptosyltransferase	rfaF	GO:0000271,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005976,GO:0006629,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0008713,GO:0008920,GO:0009058,GO:0009059,GO:0009103,GO:0009244,GO:0009311,GO:0009312,GO:0009987,GO:0016051,GO:0016740,GO:0016757,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0046401,GO:0071704,GO:1901135,GO:1901137,GO:1901576,GO:1903509	-	ko:K02843	ko00540,ko01100,map00540,map01100	M00080	-	-	ko00000,ko00001,ko00002,ko01000,ko01003,ko01005	-	GT9	iECH74115_1262.ECH74115_4993,iECSP_1301.ECSP_4617,iECs_1301.ECs4498,iG2583_1286.G2583_4359,iZ_1308.Z5047	Glyco_transf_9
rfaC	321846.PS417_02235	3.17e-260	712.0	COG0859@1|root,COG0859@2|Bacteria,1MYZA@1224|Proteobacteria,1RPMN@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	lipopolysaccharide heptosyltransferase I	rfaC	GO:0000271,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005976,GO:0006629,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0008713,GO:0008920,GO:0009058,GO:0009059,GO:0009103,GO:0009244,GO:0009311,GO:0009312,GO:0009987,GO:0016051,GO:0016740,GO:0016757,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0046401,GO:0071704,GO:1901135,GO:1901137,GO:1901576,GO:1903509	-	ko:K02841	ko00540,ko01100,map00540,map01100	M00080	-	-	ko00000,ko00001,ko00002,ko01000,ko01003,ko01005	-	GT9	iB21_1397.B21_03429,iECBD_1354.ECBD_0105,iECB_1328.ECB_03478,iECD_1391.ECD_03478,iECNA114_1301.ECNA114_3774,iECSF_1327.ECSF_3456,iSF_1195.SF3661,iS_1188.S4107	Glyco_transf_9
